,country,country_source,period,sex,age_group,Dx_covid_season,population,mx_covid_season
0,Belgium,Belgium (Sciensano),autumn 2020,0,0-24,2,3235568.25,0.000618129442950245
1,Belgium,Belgium (Sciensano),autumn 2020,0,25-44,30,2977154.75,0.0100767351781092
2,Belgium,Belgium (Sciensano),autumn 2020,0,45-64,438,3078405.5,0.142281450575631
3,Belgium,Belgium (Sciensano),autumn 2020,0,65-74,935,1188168.0,0.786925754607093
4,Belgium,Belgium (Sciensano),autumn 2020,0,75-84,2080,702065.25,2.96268758495026
5,Belgium,Belgium (Sciensano),autumn 2020,0,85+,3573,332727.0,10.7385333922405
6,Belgium,Belgium (Sciensano),autumn 2020,1,0-24,2,1583142.0,0.00126331055584401
7,Belgium,Belgium (Sciensano),autumn 2020,1,25-44,11,1486220.0,0.00740132685605092
8,Belgium,Belgium (Sciensano),autumn 2020,1,45-64,143,1532887.0,0.0932880244923468
9,Belgium,Belgium (Sciensano),autumn 2020,1,65-74,332,619560.5,0.535863729208043
10,Belgium,Belgium (Sciensano),autumn 2020,1,75-84,886,397926.75,2.22654043740462
11,Belgium,Belgium (Sciensano),autumn 2020,1,85+,2065,221428.25,9.32581998909353
12,Belgium,Belgium (Sciensano),autumn 2020,2,0-24,0,1652426.25,0.0
13,Belgium,Belgium (Sciensano),autumn 2020,2,25-44,19,1490934.75,0.0127436831155756
14,Belgium,Belgium (Sciensano),autumn 2020,2,45-64,295,1545518.5,0.190874454107149
15,Belgium,Belgium (Sciensano),autumn 2020,2,65-74,603,568607.5,1.06048548427518
16,Belgium,Belgium (Sciensano),autumn 2020,2,75-84,1194,304138.5,3.92584299587195
17,Belgium,Belgium (Sciensano),autumn 2020,2,85+,1508,111298.75,13.5491189254147
18,Belgium,Belgium (Sciensano),autumn 2021,0,0-24,2,3234925.0,0.000618252355155065
19,Belgium,Belgium (Sciensano),autumn 2021,0,25-44,24,2979996.0,0.00805370208550616
20,Belgium,Belgium (Sciensano),autumn 2021,0,45-64,190,3077196.0,0.0617445232607868
21,Belgium,Belgium (Sciensano),autumn 2021,0,65-74,333,1194091.0,0.278873218205313
22,Belgium,Belgium (Sciensano),autumn 2021,0,75-84,561,703107.0,0.797887092576237
23,Belgium,Belgium (Sciensano),autumn 2021,0,85+,584,331923.0,1.75944420844593
24,Belgium,Belgium (Sciensano),autumn 2021,1,0-24,0,1582715.0,0.0
25,Belgium,Belgium (Sciensano),autumn 2021,1,25-44,7,1487749.0,0.00470509474380423
26,Belgium,Belgium (Sciensano),autumn 2021,1,45-64,79,1531975.0,0.0515674211393789
27,Belgium,Belgium (Sciensano),autumn 2021,1,65-74,137,622638.0,0.220031543208092
28,Belgium,Belgium (Sciensano),autumn 2021,1,75-84,193,398246.0,0.484625080980098
29,Belgium,Belgium (Sciensano),autumn 2021,1,85+,296,220704.0,1.34116282441641
30,Belgium,Belgium (Sciensano),autumn 2021,2,0-24,2,1652210.0,0.00121049987592376
31,Belgium,Belgium (Sciensano),autumn 2021,2,25-44,17,1492247.0,0.0113922158999147
32,Belgium,Belgium (Sciensano),autumn 2021,2,45-64,111,1545221.0,0.0718343848549819
33,Belgium,Belgium (Sciensano),autumn 2021,2,65-74,195,571453.0,0.341235412186129
34,Belgium,Belgium (Sciensano),autumn 2021,2,75-84,367,304861.0,1.20382731802362
35,Belgium,Belgium (Sciensano),autumn 2021,2,85+,288,111219.0,2.5894856094732
36,Belgium,Belgium (Sciensano),spring 2020,0,0-24,1,3236854.75,0.000308941882548174
37,Belgium,Belgium (Sciensano),spring 2020,0,25-44,41,2971472.25,0.0137978741009612
38,Belgium,Belgium (Sciensano),spring 2020,0,45-64,513,3080824.5,0.166513866661343
39,Belgium,Belgium (Sciensano),spring 2020,0,65-74,1070,1176322.0,0.909614884359895
40,Belgium,Belgium (Sciensano),spring 2020,0,75-84,2782,699981.75,3.97438933229331
41,Belgium,Belgium (Sciensano),spring 2020,0,85+,5047,334335.0,15.095637608985
42,Belgium,Belgium (Sciensano),spring 2020,1,0-24,1,1583996.0,0.000631314725542236
43,Belgium,Belgium (Sciensano),spring 2020,1,25-44,18,1483162.0,0.0121362332637972
44,Belgium,Belgium (Sciensano),spring 2020,1,45-64,168,1534711.0,0.1094668637939
45,Belgium,Belgium (Sciensano),spring 2020,1,65-74,378,613405.5,0.616231840112291
46,Belgium,Belgium (Sciensano),spring 2020,1,75-84,1299,397288.25,3.26966629393142
47,Belgium,Belgium (Sciensano),spring 2020,1,85+,3118,222876.75,13.989794808117
48,Belgium,Belgium (Sciensano),spring 2020,2,0-24,0,1652858.75,0.0
49,Belgium,Belgium (Sciensano),spring 2020,2,25-44,23,1488310.25,0.0154537671160969
50,Belgium,Belgium (Sciensano),spring 2020,2,45-64,344,1546113.5,0.222493368048335
51,Belgium,Belgium (Sciensano),spring 2020,2,65-74,691,562916.5,1.22753552258639
52,Belgium,Belgium (Sciensano),spring 2020,2,75-84,1478,302693.5,4.88282701808926
53,Belgium,Belgium (Sciensano),spring 2020,2,85+,1916,111458.25,17.1902932263875
54,Belgium,Belgium (Sciensano),spring 2021,0,0-24,5,3234925.0,0.00154563088788766
55,Belgium,Belgium (Sciensano),spring 2021,0,25-44,20,2979996.0,0.00671141840458846
56,Belgium,Belgium (Sciensano),spring 2021,0,45-64,330,3077196.0,0.107240487768735
57,Belgium,Belgium (Sciensano),spring 2021,0,65-74,650,1194091.0,0.544347122622983
58,Belgium,Belgium (Sciensano),spring 2021,0,75-84,961,703107.0,1.36679054539352
59,Belgium,Belgium (Sciensano),spring 2021,0,85+,768,331923.0,2.3137896439837
60,Belgium,Belgium (Sciensano),spring 2021,1,0-24,1,1582715.0,0.000631825691928111
61,Belgium,Belgium (Sciensano),spring 2021,1,25-44,10,1487749.0,0.00672156391972033
